user_id,username,first_name,last_name,email,password,contact,registration_date,city_id,user_status
32,mahendranilam,Kadir,Prabowo,kadirprabowo@gmail.com,_F94IvtcX^7obQ3,+62 (0038) 839-4250,2022-04-05,8,Active
33,dagel54,Jono,Setiawan,jonosetiawan@yahoo.com,y8@YnJ6aJ*t&gkc,+62 (953) 962-6900,2024-06-07,2,Active
34,uchita10,Asman,Nurdiyanti,asmannurdiyanti@hotmail.com,5OdS6Qloi2QV(@8,(0131) 349-4362,2023-12-07,5,Inactive
35,rjanuar,Jumari,Saragih,jumarisaragih@yahoo.com,4g7^xNmbJ%VASU#,(0341) 669-3269,2023-07-17,5,Inactive
36,ami30,Alika,Agustina,alikaagustina@gmail.com,5+bY5HAa(01X^XY,+62 (85) 706-1027,2021-06-10,6,Inactive
37,kartazulkarnain,Halima,Utama,halimautama@gmail.com,cw60kZJrOV(QakS,(0116) 841-1670,2022-02-16,10,Active
38,jinawi95,Laras,Hassanah,larashassanah@gmail.com,k870_K*u+$XgE6j,0808566802,2022-12-18,3,Inactive
39,npratama,Sarah,Damanik,sarahdamanik@hotmail.com,S!!0U7iNcdysz4I,+62 (63) 724 5736,2020-12-06,1,Active
40,puputpangestu,Okto,Rajasa,oktorajasa@hotmail.com,H^%&55vNXXUYiRC,+62 (0552) 240 7289,2022-05-21,10,Inactive
41,lailasarijaga,Ismail,Pradipta,ismailpradipta@yahoo.com,vRD9YUSv)DKLnxJ,+62-16-766-6596,2023-08-10,1,Inactive
42,situmorangabyasa,Lembah,Winarsih,lembahwinarsih@gmail.com,9zol8%cvjq&gCMn,+62 (611) 737 4667,2023-01-31,2,Active
43,cramadan,Bahuwarna,Rajasa,bahuwarnarajasa@hotmail.com,H*sdRTYFQj0051C,+62-0057-541-4759,2023-06-04,3,Inactive
44,tirta26,Darmana,Santoso,darmanasantoso@yahoo.com,k@Z2FfEIex(Ot#y,+62 (0217) 812-2102,2020-03-13,7,Active
45,habibidartono,Farhunnisa,Megantara,farhunnisamegantara@yahoo.com,+ZGWm+7Er!n1PW6,+62 (16) 215 5052,2024-11-17,6,Active
46,laksitayunita,Belinda,Laksmiwati,belindalaksmiwati@gmail.com,0^0yuyET$ZZuTK+,+62 (0221) 774 4072,2021-04-10,2,Active
47,martana80,Salimah,Mansur,salimahmansur@hotmail.com,lpEbPKp*YD)T2D5,0880296296,2022-10-04,10,Active
48,gabriellanarpati,Praba,Sirait,prabasirait@hotmail.com,S92E0cn^*F_rBnA,0839906522,2022-01-28,4,Inactive
49,prabowoella,Zulfa,Tampubolon,zulfatampubolon@yahoo.com,wRW9OAgx&1R9lUF,+62 (660) 418 9774,2024-07-12,4,Active
50,widiastutibajragin,Jamal,Maryadi,jamalmaryadi@hotmail.com,risWQ8hp@5BEff3,+62 (064) 584 7702,2020-02-19,5,Active
